Title,Company,Salary,Location,Description,Posted,Link
Expert - Full Stack Development,Colgate-Palmolive,not specified,"Mumbai, Maharashtra","The candidate is a domain expert and responsible for design, development and implementation of various applications in the area of large scale worldwide Colgate…",PostedPosted 30+ days ago,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CScSxRBn_n5hzPBw7DFYVJJAQwrBP-UaBS3EDdzxnGq444OIF0JFJ_9dgVGl5q5NcTgzVbhrtGJcCw1ZFzyY5Pr-gG4rjYFhpmDz4R0jGkfJT7PXfYCXPodTvWaM3IurBjVEp72Mv344GTgwqo4tLRo6jCehm8tBi4Kfem4jmc9UmguhG3hw8WVMUe6zCxzx8wS93FA3r8GR78GTPryFtI64-NOL69PCgIQjXgwrGR5SBBg3FKLCmTeYuqkBO9mhzhq7LBAZqwFQZO7tdND1tmJ7siB2SHy4T9vfi_8NIhMNp_8W694ePPVMy1M2Vu8HQAfUZqv5e6WX3mcq0GkijbKjN-L_8ebXA1joApzOydvFwG4ybyHaiNJ08V4KHTuwG8L7mJxhYrFe-PIdACLg5LXQvi3F7SbyRLRNffCu7xAXqoAhlw0o9dYp9Hkg2eeoOdMSTSOnAnWeNchVUDEZ0bNKoR5ZRqFLPpbTxYFGKgvutWkANa0VFeVUHLHJ7nTWieN_495rzKmAo10dw2QkCqUd-3XiVmAw4OYtLD17TJ0uH5c0xrrWKu43FwyIyJTcJwRY6QHP3h3kCcxx7J4CRvLT5K9JPcYWVShtcLHRdNUWdaVH55zPHcC7H6eNbR3pXKwuJkVJqSynJFGQFp8uLM-FzTtSViGCGp1FIpacXPGvAEOjPJBgN0OgkfER_oKWw=&xkcb=SoDC-_M3M8vrIEwNKp0LbzkdCdPP&p=0&fvj=0&vjs=3
Full Stack Developer,Eastvantage Business Solutions Inc.,"Up to ₹18,00,000 a year","Bengaluru, Karnataka","NET developer, you will be working with a team of business analysts, developers, testers and product managers, providing technical oversight and technically…",PostedPosted 30+ days ago,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DlzjnvRwDSZ_83y7jHyHdsRjFdoc5zuBd8eKDhcdx5JeVaYLfWP8ITwT8lrI6piGk3kpUrBZCG7KuwnZVyfUTqaJVF0moENSwVDdEssDHXFeqq8QBlCigvownJjMTuwvWQJaLDbONJgDNNOo3fYBVTCnuiskwNnpNNqxw7-r2ZK6fyr5oEcCak38gQkOyZwKCPB6T7a7vcmjpMIB1w6FS12EwdmhuNITFgVax2e27RSRjUifkHjvxvaoQ0b0iXvX94xOeSPMKes5CGuGbjqXfaVUjOiqsYebnigHN-lJSHqBvJwPVlka6VsKnSybbQSVEFKUkOUgq2OsZ_iMpexX3OVhDbqsCGqaw43GbK3yefiuO3Yf7Bm43TIjybG659j8hpBtgX6F4sb0L7on54JYxioUc_n8Fury6wOu-EGtQVCLMGPz3ThM2jPozR24X2wPK0aaq0CLx_tMHYUV6spizsH7JjikDNwt3qJgJjRxtFwTy7Js3uJqv9X8UIIoMlQp8DKOujjD6AkC2II-Jn6GAV&xkcb=SoB2-_M3M8vrIEwNKp0KbzkdCdPP&p=1&fvj=1&vjs=3
Java Full Stack Developer,Coforge,"₹13,00,000 - ₹30,00,921 a year","Greater Noida, Uttar Pradesh","Skills -* Java, Micro services, Spring boot, React, Database (Oracle, SQL server, MongoDB etc).
Extensive experience in JAVA/J2EE stack, Spring boot 2.x,…",EmployerActive 5 days ago,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CvMFVhobrnzpqaTbh6xbaJaOn0IPduHF6N4-Z7U6kaxdJo5gaQNURHgbI7LrJgdmjvTo7ZUJ6_j2oPF1WGhC06PFgXayXas09fvPuMSwiGoPMYtWjSvTdOX4QSYH8fvi__Lbv5HInFYphJYNtBrLInw0geeruMYO1v_YA6AiC2C4oikXxOriu7cKuDScME4z8QhBtF_tX1BhSCGMdMf9fzaOX3paD-gfrV4VEUPit0qQcMr6U1gr49wI6bvqGvrsIY4kAGbm-p4IoG5bDIa1LGWkcpXY7y576ilCPJY4QdiEEghmP8kIx0ge_el-h8P30aSUXbTsWJM8UsdcyTp9b5YDQATF2cuVb63E2x6qw5DHpMHRVpXlXYmAD3Kp5YavM41NpfB5n5CyCYo0xba1NZsQu5K1JA081autqMQRlreN2U2Yj4PcedOTcQTDGZI2Hz5zJb6gFVN9skzGZ91yLyJka1ILzAiwqMZXcsW_zObaaa1fPEDTgXcE_qk6_SZNjv34PzSOD5Iw==&xkcb=SoDr-_M3M8vrIEwNKp0JbzkdCdPP&p=2&fvj=1&vjs=3
UI/UX Designer,IRA Softwares,"₹15,000 - ₹25,000 a month","Indore, Madhya Pradesh","Proficiency in HTML, CSS, and JavaScript, Angular, Vue and React js for rapid prototyping.
The ideal candidate should have an eye for clean and artful design,…",EmployerActive 5 days ago,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A9KymSBmXOHyiCl1M9osq-jczp4eRbUEpc-laVx7qnH3z--tkcfFEUIMBd4iquUVjzlqrwsX_8jBzKqGpmqq_JAiAXa3MKGFPjqRn5CbZjd-oHxo5OfZVhuY00tt7IkerwznTAif8wyvrKyvmaD8yrsnVFe0_iaO-0F5nvOy2Ta9clZVeWOxP5dIMVOKR3v22TAm5IVyqe96xHMhKGCml0vLQyq6KRidjONditbJ8ITRyBhtZ0AVjwoDu12nTtdALcJ0clX-uTE1GtNo5x91ks3vXp2P48a191boXcdshzLKYWHR9Ifd-lcDC7l1_C4DdH3zNXJMTZIS4BHglEwVxT0o3tYEoZcy_ymCI0KnxFPWM3OC8FDYnwbdky6a0qRJg_DpushRzb1qoXtVi7rvKZ-PIXU2NaK_i_UnIlbINXX_3r28Pb_ncPhicSEBAf3bUb1xew8zAoZBoS6dvC63HfNOfixXaNkOnYiOVvsj7xzsjIHycqpuLd&xkcb=SoBf-_M3M8vrIEwNKp0IbzkdCdPP&p=3&fvj=1&vjs=3
React.js Developer,FlexiEle,not specified,Remote,"Developing and implementing highly responsive user interface components using react concepts.
Reviewing application requirements and interface designs.",PostedPosted 5 days ago,https://in.indeed.com/rc/clk?jk=3a023295fcb6371b&fccid=de037aae45dacd45&vjs=3
React JS Developer | Remote,Sofueled Media Pvt. Ltd,"₹20,000 - ₹40,000 a month",Remote in Remote,We are looking for React JS Developers to join our team having strong Knowledge of JavaScript concepts and strong problem solving and analytical capabilities.,PostedToday,https://in.indeed.com/company/Androcid-Media-Pvt.-Ltd/jobs/Developer-887e596b5d6bd6e3?fccid=20a32776a494b250&vjs=3
Senior React.JS developer,BigShyft,"₹15,00,000 - ₹25,00,000 a year","Remote in Hyderabad, Telangana","Implement stories end-to-end, which includes Frontend, Backends for Frontend (BFF), Caching and also service orchestration in some cases) using best engineering…",PostedPosted 4 days ago,https://in.indeed.com/rc/clk?jk=79ec26e1228332ef&fccid=df4303b9957be85e&vjs=3
React JS,Capgemini,not specified,"Bengaluru, Karnataka",Having 3-6 years of experience in React JS ReactJS OOJS JQuery JavaScript testing framework like Mocha Karma or Jasmine Grunt Bower Gulp or webpack JavaScript…,PostedPosted 4 days ago,https://in.indeed.com/rc/clk?jk=b28660c0af246f77&fccid=105ecfd0283f415f&vjs=3
Junior JavaScript Engineer,MTechZilla,"₹2,40,000 - ₹3,60,000 a year","Remote in Pune, Maharashtra","Work with development teams and product managers to ideate software solutions.
Design client-side and server-side architecture.",PostedPosted 1 day ago,https://in.indeed.com/company/MTechZilla/jobs/Junior-Javascript-Developer-02b6b31077f369f2?fccid=b3ace42fea8d233c&vjs=3
React.js Developer,BigShyft,"₹9,00,000 - ₹12,00,000 a year","Bengaluru, Karnataka","Identifying web-based user interactions.
Developing and implementing highly responsive user interface.
Writing application interface codes using JavaScript…",PostedJust posted,https://in.indeed.com/rc/clk?jk=c99d38f9941d2351&fccid=df4303b9957be85e&vjs=3
